type	x	y	z	tag	br
DCP	-186	8096	8.5	2	1
DCP	-166	8191	8.5	2	1
DCP	-210	8195	8.5	2	1
DCP	-270	8171	8.5	2	1
DCP	-271	8156	8.5	2	1
DCP	-281	8235	8.5	2	1
DCP	-321	8296	7.5	2	1
DCP	-205	8259	10	2	1
DCP	-127	8222	10	2	1
DCP	-202	8433	13.5	2	1
DCP	-144	8430	13.5	2	1
DCP	-128	8328	13.5	2	1
DCP	-156	8339	13.5	2	1
DCP	-274	8339	11	2	1
DCP	-298	8462	11	2	1
DCP	-240	8485	19.5	2	1
DCP	-246	8525	19.5	2	1
DCP	-302	8521	19.5	2	1
DCP	-139	8519	23	2	1
DCP	-146	8554	23	2	1
DCP	-224	8658.5	33	2	1
DCP	-224	8608.5	29.5	2	1
DCP	-187	8650.5	32.5	2	1
DCP	-136	8643.5	32.5	2	1
DCP	-174	8701.5	37	2	1
DCP	-193	8865.5	54	2	1
DCP	-221	8869.5	58	2	1
DCP	-248	8875.5	58	2	1
DCP	-260	8869.5	58	2	1
DCP	-218	8744.5	58	2	1
DCP	-252	8741.5	58	2	1
DCP	-301	8845.5	58	2	1
DCP	-144	8846.5	58	2	1
DCP	-193	8943.5	62	2	1
DCP	-146	8987.5	60	2	1
DCP	-284	8951.5	60	2	1
DCP	-346	8951.5	60	2	1
DCP	-372	9000.5	60	2	1
DCP	83	-612	5.5	2	1
DCP	54	-608	7	2	1
DCP	50	-601	7	2	1
DCP	17	-563	-1.5	2	1
DCP	38	-552	-1.5	2	1
DCP	62	-536	4	2	1
DCP	116	-545	4	2	1
DCP	68	-499	4	2	1
DCP	-23	-535	4	2	1
DCP	-57	-564	4	2	1
DCP	-106	-613	4	2	1
DCP	-105	-535	4	2	1
DCP	-94	-491	4	2	1
DCP	-33	-495	7.5	2	1
DCP	-15	-434	7.5	2	1
DCP	38	-438	7.5	2	1
DCP	-9	-423	4	2	1
DCP	-59	-440	4	2	1
DCP	-100	-441	4	2	1
DCP	-63	-424	4	2	1
DCP	-14	-389	4	2	1
DCP	55	-413	4	2	1
DCP	72	-416	4	2	1
DCP	101	-400	4	2	1
DCP	110	-437	4	2	1
DCP	63	-373.5	2	2	1
DCP	110	-345.5	0.5	2	1
DCP	91	-302.5	0.5	2	1
DCP	106	-274.5	0.5	2	1
DCP	117	-271.5	0.5	2	1
DCP	-3	-321.5	-6.5	2	1
DCP	-4	-304.5	-6.5	2	1
DCP	-43	-305.5	-6.5	2	1
DCP	-27	-351.5	-6.5	2	1
DCP	-48	-366.5	-6.5	2	1
DCP	-103	-375.5	-3	2	1
DCP	-83	-351.5	-3	2	1
DCP	-106	-295.5	-3	2	1
DCP	-102	-248.5	-3	2	1
DCP	-60	-255.5	-3	2	1
DCP	-60	-255.5	-3	2	1
DCP	-9	-268.5	-11	2	1
DCP	10	-271.5	-11	2	1
DCP	21	-257.5	-11	2	1
DCP	-5	-218.5	-11	2	1
DCP	-33	-211.5	-11	2	1
DCP	-57	-193.5	-11	2	1
DCP	-71	-192.5	-11	2	1
DCP	-106	-162.5	-11	2	1
DCP	26	-157.5	-11	2	1
DCP	25	-165.5	-11	2	1
DCP	49	-191.5	-4.5	2	1
DCP	59	-182.5	-4.5	2	1
DCP	83	-206.5	-4.5	2	1
DCP	81	-136.5	-4.5	2	1
DCP	99	-125	-4.5	2	1
DCP	122	-126	-4.5	2	1
DCP	77	-99	-4.5	2	1
DCP	57	-106	-4.5	2	1
DCP	44	-89	-9.5	2	1
DCP	10	-93	-9.5	2	1
DCP	-6	-82	-13	2	1
DCP	-1	-75	-16	2	1
